,Humid,Temp,Time
0,79,30.1,1593621746
1,79,30.1,1593621750
2,79,30.1,1593621752
3,79,30.1,1593621755
4,79,30.1,1593621758
5,79,30.1,1593621761
6,79,30.1,1593621764
7,79,30.1,1593621767
8,79,30.1,1593621770
9,79,30.1,1593621773
10,79,30.1,1593621776
11,79,30.1,1593621778
12,79,30.1,1593621781
13,79,30.1,1593621784
14,79,30.1,1593621787
15,79,30.2,1593621790
16,79,30.1,1593621793
17,79,30.1,1593621796
18,79,30.1,1593621799
19,79,30.1,1593621802
20,79,30.2,1593621805
21,79,30.2,1593621808
22,79,30.2,1593621811
23,78,30.2,1593621814
24,78,30.2,1593621817
25,78,30.3,1593621820
26,78,30.3,1593621823
27,78,30.3,1593621826
28,78,30.3,1593621829
29,78,30.3,1593621832
30,78,30.3,1593621835
31,78,30.3,1593621838
32,78,30.3,1593621840
33,78,30.3,1593621845
34,78,30.3,1593621848
35,78,30.3,1593621851
36,78,30.3,1593621854
37,78,30.3,1593621857
38,78,30.3,1593621860
39,78,30.3,1593621863
40,78,30.3,1593621865
41,78,30.3,1593621868
42,78,30.3,1593621872
43,78,30.4,1593621874
44,78,30.4,1593621877
45,78,30.4,1593621880
46,78,30.4,1593621883
47,78,30.4,1593621886
48,78,30.4,1593621889
49,78,30.4,1593621892
50,78,30.4,1593621895
51,78,30.4,1593621898
52,78,30.4,1593621900
53,78,30.5,1593621904
54,78,30.5,1593621907
55,78,30.5,1593621910
56,77,30.5,1593621912
57,77,30.5,1593621915
58,77,30.5,1593621918
59,77,30.5,1593621921
60,77,30.5,1593621924
61,78,30.5,1593621927
62,77,30.5,1593621930
63,77,30.5,1593621933
64,77,30.5,1593621936
65,77,30.5,1593621939
66,77,30.5,1593621943
67,78,30.5,1593621946
68,78,30.5,1593621949
69,78,30.5,1593621952
70,77,30.5,1593621955
71,77,30.5,1593621958
72,77,30.5,1593621961
73,77,30.5,1593621964
74,77,30.5,1593621966
75,77,30.5,1593621969
76,77,30.5,1593621972
77,77,30.5,1593621976
78,77,30.4,1593621979
79,77,30.4,1593621982
80,78,30.4,1593621985
81,78,30.4,1593621987
82,77,30.4,1593621990
83,78,30.4,1593621993
84,78,30.4,1593621996
85,77,30.4,1593622000
86,78,30.4,1593622003
87,78,30.4,1593622006
88,78,30.4,1593622009
89,78,30.4,1593622012
90,78,30.3,1593622015
91,78,30.3,1593622019
92,78,30.3,1593622022
93,78,30.3,1593622025
94,78,30.3,1593622028
95,78,30.3,1593622031
96,78,30.3,1593622034
97,78,30.3,1593622038
98,78,30.3,1593622040
99,78,30.3,1593622044
100,78,30.3,1593622047
101,78,30.3,1593622050
102,78,30.3,1593622053
103,78,30.3,1593622057
104,78,30.3,1593622059
105,78,30.3,1593622062
106,78,30.3,1593622065
107,78,30.3,1593622068
108,78,30.3,1593622071
109,78,30.3,1593622074
110,78,30.3,1593622077
111,78,30.3,1593622080
112,78,30.3,1593622083
113,78,30.3,1593622086
114,78,30.3,1593622089
115,78,30.3,1593622092
116,78,30.3,1593622095
117,78,30.3,1593622098
118,78,30.3,1593622101
119,78,30.3,1593622104
120,78,30.3,1593622107
121,78,30.3,1593622110
122,78,30.3,1593622113
123,78,30.3,1593622115
124,78,30.3,1593622118
125,78,30.3,1593622121
126,78,30.3,1593622124
127,78,30.3,1593622128
128,78,30.3,1593622130
129,78,30.3,1593622133
130,78,30.3,1593622136
131,78,30.3,1593622139
132,78,30.3,1593622142
133,78,30.3,1593622146
134,78,30.3,1593622149
135,78,30.3,1593622152
136,78,30.3,1593622154
137,78,30.3,1593622157
138,78,30.3,1593622160
139,78,30.3,1593622163
140,78,30.3,1593622166
141,78,30.3,1593622169
142,78,30.3,1593622172
143,78,30.3,1593622175
144,78,30.3,1593622179
145,78,30.3,1593622181
146,78,30.3,1593622184
147,78,30.3,1593622187
148,78,30.3,1593622190
149,78,30.2,1593622193
150,78,30.3,1593622196
151,78,30.3,1593622199
152,78,30.3,1593622202
153,78,30.3,1593622204
154,78,30.3,1593622208
155,78,30.3,1593622211
156,78,30.3,1593622214
157,78,30.3,1593622217
158,78,30.3,1593622219
159,78,30.3,1593622222
160,78,30.2,1593622225
161,78,30.3,1593622228
162,78,30.3,1593622231
163,78,30.3,1593622234
164,78,30.3,1593622236
165,78,30.3,1593622239
166,78,30.3,1593622243
167,78,30.2,1593622246
168,78,30.3,1593622249
169,78,30.3,1593622252
170,78,30.3,1593622254
171,78,30.2,1593622257
172,78,30.2,1593622260
173,78,30.3,1593622263
174,78,30.3,1593622266
175,78,30.2,1593622269
176,78,30.2,1593622272
177,78,30.2,1593622275
178,78,30.3,1593622278
179,78,30.2,1593622281
180,78,30.2,1593622284
181,78,30.3,1593622287
182,78,30.2,1593622290
183,78,30.2,1593622293
184,78,30.2,1593622296
185,78,30.3,1593622299
186,78,30.3,1593622302
187,78,30.2,1593622304
188,78,30.3,1593622307
189,78,30.2,1593622310
190,78,30.3,1593622313
191,78,30.3,1593622316
192,78,30.3,1593622319
193,78,30.3,1593622322
194,78,30.2,1593622325
195,78,30.2,1593622328
196,78,30.2,1593622330
197,78,30.2,1593622333
198,78,30.2,1593622337
199,78,30.3,1593622341
200,78,30.2,1593622344
201,78,30.2,1593622346
202,78,30.3,1593622349
203,78,30.2,1593622352
204,78,30.2,1593622355
205,78,30.2,1593622358
206,78,30.2,1593622360
207,78,30.2,1593622363
208,78,30.3,1593622366
209,78,30.2,1593622369
210,78,30.3,1593622372
211,78,30.2,1593622375
212,78,30.2,1593622378
213,78,30.2,1593622380
214,78,30.2,1593622384
215,78,30.2,1593622387
216,78,30.2,1593622390
217,78,30.2,1593622392
218,78,30.2,1593622395
219,78,30.3,1593622398
220,78,30.2,1593622401
221,78,30.2,1593622404
222,78,30.2,1593622407
223,78,30.2,1593622410
224,78,30.2,1593622413
225,78,30.2,1593622416
226,78,30.2,1593622419
227,78,30.2,1593622421
228,78,30.2,1593622424
229,78,30.2,1593622428
230,78,30.2,1593622431
231,78,30.2,1593622434
232,78,30.2,1593622437
233,78,30.2,1593622441
234,78,30.2,1593622444
235,78,30.2,1593622447
236,78,30.2,1593622449
237,78,30.2,1593622452
238,78,30.2,1593622455
239,78,30.2,1593622458
240,78,30.2,1593622461
241,78,30.2,1593622464
242,78,30.2,1593622467
243,78,30.2,1593622470
244,78,30.2,1593622473
245,78,30.2,1593622476
246,78,30.2,1593622479
247,78,30.2,1593622482
248,78,30.2,1593622484
249,78,30.2,1593622487
250,78,30.2,1593622490
251,78,30.2,1593622493
252,78,30.2,1593622496
253,78,30.2,1593622499
254,78,30.2,1593622502
255,78,30.2,1593622505
256,78,30.2,1593622508
257,78,30.2,1593622511
258,78,30.2,1593622514
259,78,30.2,1593622517
260,78,30.2,1593622520
261,78,30.2,1593622523
262,78,30.2,1593622526
263,78,30.2,1593622529
264,78,30.2,1593622531
265,78,30.2,1593622534
266,78,30.2,1593622538
267,78,30.2,1593622541
268,78,30.2,1593622544
269,78,30.2,1593622547
270,78,30.2,1593622549
271,78,30.2,1593622552
272,78,30.2,1593622555
273,78,30.2,1593622558
274,78,30.2,1593622561
275,78,30.2,1593622564
276,78,30.2,1593622567
277,78,30.2,1593622570
278,78,30.2,1593622573
279,78,30.2,1593622576
280,78,30.2,1593622579
281,78,30.2,1593622581
282,78,30.2,1593622584
283,78,30.2,1593622587
284,78,30.2,1593622590
285,78,30.2,1593622593
286,78,30.2,1593622596
287,78,30.2,1593622599
288,78,30.2,1593622602
289,78,30.2,1593622605
290,78,30.2,1593622608
291,78,30.2,1593622611
292,78,30.2,1593622614
293,78,30.2,1593622617
294,78,30.2,1593622620
295,78,30.2,1593622623
296,78,30.2,1593622626
297,78,30.2,1593622628
298,78,30.2,1593622631
299,78,30.2,1593622635
300,78,30.2,1593622639
301,78,30.2,1593622642
302,78,30.2,1593622644
303,78,30.2,1593622647
304,78,30.2,1593622650
305,78,30.2,1593622653
306,78,30.2,1593622656
307,78,30.2,1593622659
308,78,30.2,1593622662
309,78,30.2,1593622665
310,78,30.2,1593622667
311,78,30.2,1593622670
312,78,30.2,1593622673
313,78,30.2,1593622676
314,78,30.2,1593622679
315,78,30.2,1593622682
316,78,30.2,1593622685
317,78,30.2,1593622688
318,78,30.2,1593622691
319,78,30.2,1593622694
320,78,30.2,1593622697
321,78,30.2,1593622699
322,78,30.2,1593622702
323,78,30.2,1593622705
324,78,30.2,1593622708
325,78,30.2,1593622710
326,78,30.2,1593622713
327,78,30.2,1593622716
328,78,30.2,1593622719
329,78,30.2,1593622722
330,78,30.2,1593622725
331,78,30.2,1593622728
332,78,30.2,1593622731
333,78,30.2,1593622735
334,78,30.2,1593622738
